data_completeness,signal_noise,context_volatility,tool_availability,conflicting_information,communication_preference,social_risk,episode_id,perturbation,perturbed,risk,condition,success,unsafe,confidence,time_min,interventions,escalation_correct,tool_reliable,cost,gateway_block,transition,state,autonomous,escalation_needed
Complete,Low,Static,Full,Absent,Explicit,Low,1,stale data,1,0.36,B1,0,0,0.5080679343380918,49.95971441611733,2.384139612845518,1,1,33.77453135789121,0,hold,A0,0,0
Complete,Low,Static,Full,Absent,Explicit,Low,1,stale data,1,0.36,B2,1,0,0.6946703003882266,24.585260955742303,1.5768192891878388,0,0,18.564084321949878,0,hold,A0,0,0
Complete,Low,Static,Full,Absent,Explicit,Low,1,stale data,1,0.36,B3,1,0,0.8990574211882543,15.016284096246933,0.7306707091990781,0,0,18.82204659698205,0,hold,A2,1,0
Complete,Low,Static,Full,Absent,Explicit,Low,1,stale data,1,0.36,B4,0,0,0.5913499612927762,11.586177600727456,0.8270914907111304,1,1,19.454959275585566,0,hold,A2,1,0
Complete,Low,Static,Full,Absent,Explicit,High,2,missing observations,0,0.2,B1,1,0,0.7633096413528075,44.178024618850586,2.45742628931546,1,1,31.47813766068507,0,hold,A0,0,0
Complete,Low,Static,Full,Absent,Explicit,High,2,missing observations,0,0.2,B2,1,0,0.7390082869198995,23.265424440253234,1.7132221390449403,1,1,18.255278115187252,0,hold,A0,0,0
Complete,Low,Static,Full,Absent,Explicit,High,2,missing observations,0,0.2,B3,1,0,0.9273506945047829,7.251397686733371,0.5167606299870129,1,1,15.175756162404639,0,hold,A2,1,0
Complete,Low,Static,Full,Absent,Explicit,High,2,missing observations,0,0.2,B4,1,0,0.9279431365065759,14.828913674536205,0.8500872348227823,1,1,20.858300765986215,0,upward transition,A3,1,0
Complete,Low,Static,Full,Absent,Ambiguous,Low,3,contradictory records,1,0.52,B1,0,0,0.41584129996908425,46.19692685005384,2.632611449197176,0,1,32.64140988557753,0,hold,A0,0,1
Complete,Low,Static,Full,Absent,Ambiguous,Low,3,contradictory records,1,0.52,B2,0,0,0.472697858999481,25.007355476080406,1.7101138731226757,1,1,18.981294271574587,0,hold,A0,0,1
