n_pairs,p_unsafe_reference,p_unsafe_arm,assumed_correlation,power
72,0.3,0.15,0.3,0.583
144,0.3,0.15,0.3,0.903
288,0.3,0.15,0.3,0.998
576,0.3,0.15,0.3,1.0
72,0.3,0.15,0.5,0.658
144,0.3,0.15,0.5,0.945
288,0.3,0.15,0.5,1.0
576,0.3,0.15,0.5,1.0
72,0.3,0.15,0.7,0.761
144,0.3,0.15,0.7,0.981
288,0.3,0.15,0.7,1.0
576,0.3,0.15,0.7,1.0
72,0.2,0.1,0.3,0.36
144,0.2,0.1,0.3,0.694
288,0.2,0.1,0.3,0.956
576,0.2,0.1,0.3,1.0
72,0.2,0.1,0.5,0.42
144,0.2,0.1,0.5,0.779
288,0.2,0.1,0.5,0.983
576,0.2,0.1,0.5,1.0
72,0.2,0.1,0.7,0.51
144,0.2,0.1,0.7,0.877
288,0.2,0.1,0.7,0.998
576,0.2,0.1,0.7,1.0
72,0.15,0.1,0.3,0.104
144,0.15,0.1,0.3,0.238
288,0.15,0.1,0.3,0.486
576,0.15,0.1,0.3,0.818
72,0.15,0.1,0.5,0.124
144,0.15,0.1,0.5,0.29
288,0.15,0.1,0.5,0.571
576,0.15,0.1,0.5,0.898
72,0.15,0.1,0.7,0.135
144,0.15,0.1,0.7,0.383
288,0.15,0.1,0.7,0.721
576,0.15,0.1,0.7,0.966
